VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;CO_DISTRITO
CALLE;DE;ALEJANDRO SANCHEZ;ALEJANDRO SÁNCHEZ;11
TRAVESÍA;DE;ALEJANDRO SANCHEZ;ALEJANDRO SÁNCHEZ;11
CALLE;DE;ALEJANDRO VILLEGAS;ALEJANDRO VILLEGAS;16
CALLE;DE;ALEMANIA;ALEMANIA;6
CALLE;DE;ALENZA;ALENZA;7
CALLE;DEL;ALERCE;ALERCE;12
CALLE;DE;ALESANCO;ALESANCO;9
CALLE;;ALFA;ALFA;21
CALLE;DE;ALFACAR;ALFACAR;16
CALLE;DE LA;ALFALFA;ALFALFA;6
CALLE;DE;ALFAMBRA;ALFAMBRA;5
CALLE;DEL;ALFAR;ALFAR;9
CALLE;DE LA;ALFARERIA;ALFARERÍA;9
CALLE;DE LOS;ALFAREROS;ALFAREROS;20
CALLE;DE;ALFARNATE;ALFARNATE;13
CALLE;DE;ALFARO;ALFARO;11
CALLE;DEL;ALFEREZ JUAN USERA;ALFÉREZ JUAN USERA;11
CALLE;DE;ALFONSO CEA;ALFONSO CEA;10
CALLE;DE;ALFONSO FERNANDEZ;ALFONSO FERNÁNDEZ;11
CALLE;DE;ALFONSO FERNANDEZ CLAUSELLS;ALFONSO FERNÁNDEZ CLAUSELLS;9
CALLE;DE;ALFONSO GOMEZ;ALFONSO GÓMEZ;20
CALLE;DE;ALFONSO MARTINEZ CONDE;ALFONSO MARTÍNEZ CONDE;11
CALLE;DE;ALFONSO PASO;ALFONSO PASO;15
AVENIDA;DE;ALFONSO PEÑA BOEUF;ALFONSO PEÑA BOEUF;20
CALLE;DE;ALFONSO RODRIGUEZ CASTELAO;ALFONSO RODRÍGUEZ CASTELAO;8
CALLE;DE;ALFONSO RODRIGUEZ SANTAMARIA;ALFONSO RODRÍGUEZ SANTAMARÍA;5
CALLE;DE;ALFONSO VI;ALFONSO VI;1
CALLE;DE;ALFONSO VIII;ALFONSO VIII;5
CALLE;DE;ALFONSO X;ALFONSO X;7
CALLE;DE;ALFONSO XI;ALFONSO XI;3
CALLE;DE;ALFONSO XII;ALFONSO XII;3
AVENIDA;DE;ALFONSO XIII;ALFONSO XIII;5
AVENIDA;DE;ALFONSO XIII;ALFONSO XIII;5
AVENIDA;DE;ALFONSO XIII;ALFONSO XIII;5
CALLE;DE;ALFONSO XIII;ALFONSO XIII;13
CALLE;DE;ALFREDO ALEIX;ALFREDO ALEIX;11
TRAVESÍA;DE;ALFREDO ALEIX;ALFREDO ALEIX;11
CALLE;DE;ALFREDO BRAÑAS;ALFREDO BRAÑAS;14
CALLE;DE;ALFREDO CASTRO CAMBA;ALFREDO CASTRO CAMBA;13
CALLE;DE;ALFREDO DI STEFANO;ALFREDO DI STÉFANO;16
PLAZA;DE;ALFREDO MAHOU;ALFREDO MAHOU;4
CALLE;DE;ALFREDO MARQUERIE;ALFREDO MARQUERÍE;8
CALLE;DE;ALGABA;ALGABA;11
CALLE;DEL;ALGARROBO;ALGARROBO;8
