idelem;lon;lat;district_code;district_name
10732;-3.646057;40.434058;NA;NA
10733;-3.644707;40.434706;NA;NA
10734;-3.640465;40.436848;NA;NA
10735;-3.640949;40.436521;NA;NA
10736;-3.639571;40.437286;NA;NA
10737;-3.658640;40.462006;NA;NA
10738;-3.659341;40.460403;NA;NA
10739;-3.667396;40.475419;NA;NA
10740;-3.667393;40.475295;NA;NA
10741;-3.653450;40.467771;NA;NA
10742;-3.664039;40.474382;NA;NA
10743;-3.663982;40.474079;NA;NA
10744;-3.650850;40.470745;NA;NA
10745;-3.652330;40.468900;NA;NA
10746;-3.663365;40.473345;NA;NA
